Symbol,Value
CD59,-1.6748536548576998
CDA,-1.8128057941987898
CDC20,4.25626912726717
CDC25A,1.8575645363278002
CDC6,1.36977074129547
CDCA2,4.31075672096247
CDCA4,1.37972204579523
CDCA5,3.06284272302179
CDCA7,2.68957058526213
CDCA7L,1.7786092438678602
CDCA8,2.95554424410542
CDH9,-4.535592912027861
CDHR5,2.36400050368885
CDK1,4.30708609622776
CDK5,-1.29055614532222
CDK5R2,-2.3066822825115203
CDKN2C,2.19407450625243
CDKN2D,-1.68723918418953
CDON,2.61153693696233
CDRT4,-2.7638218418294103
CDS1,-2.40903823342665
CDT1,2.39108134399491
CEBPB-AS1,-1.5013868742202903
CECR1,-1.2487301634661399
CELF2-AS1,2.8785318997199303
CELF4,-2.992132661037
CELF6,-2.07954785430591
CELSR1,2.53725120787859
CEMP1,-2.15087015381595
CENPE,3.9614285804753
CENPF,6.32641114641822
CENPH,1.25471793657206
CENPK,2.5289784399651403
CENPL,1.7303249720882201
CENPM,2.72484505992482
CENPO,1.14547488469346
CENPU,2.7739465663423597
CEP135,1.75986125152343
CEP152,1.8196346769266998
CEP170B,-1.24259740684778
CEP55,3.76060321334535
CES4A,-3.94087441474908
CFAP221,-1.7734131636181998
CFAP58,-2.31055870383398
CFC1,-3.96623539503417
CFH,-1.6538079815483897
CH17-258A22.4,-3.8774793920155197
CH17-340M24.3,-1.5389680054789998
CH17-431G21.1,1.275979612237
CH507-145C22.1,2.5965883548670297
CH507-154B10.1,2.4409615302144503
CH507-154B10.2,2.6766176161126096
CH507-338C24.1,4.1129342485438
CHAF1A,1.39386122015472
CHD5,-1.81351708928785
CHD7,2.40028311123236
CHEK1,1.3602632386898703
CHGA,-2.9924949023647005
CHGB,-3.2642683024777
CHIC2,2.20936099034698
CHIT1,2.55697348861672
CHML,1.7826585585804098
CHMP4A,-1.4535908357075802
CHN1,-3.05504901146438
CHORDC1,1.35636254136096
CHRM4,-2.7967503280863197
CHRNA5,1.96120364425045
CHST11,1.4897819027746897
CHST9,2.98541726170477
CICP14,1.77255267455603
CICP27,1.72298929894122
CISD1,-1.45458636013982
CISD3,-1.0621416236043701
CKAP2,1.81546432036399
CKAP2L,5.310296093698599
CLDN10,-3.1551631349311102
CLDND2,-1.3805622304527398
CLEC18A,1.37087838175532
CLEC18C,1.2227558610156102
CLEC1A,-1.89215682807438
CLEC3B,-3.23606430610238
CLEC4G,-4.88386952367713
CLEC9A,-3.4581624007286798
CLIC5,-2.17273619569508
CLSPN,3.32835549189871
CLTB,-1.62649605396889
CLUL1,-2.43198586153883
CLVS1,-2.52569917498878
CLYBL,-2.13689371642169
CMAHP,-3.00146178373272
CMB9-22P13.1,1.02261673267799
CMC2,-1.4507859538111898
CMTM1,2.22926029978442
CNGB1,-3.12168136895796
CNNM1,-1.6100130069866498
CNTNAP5,2.92454523152912
COA3,-1.1094276970714398
COL11A1,2.71524309423051
COL17A1,-2.6814269693024904
COL20A1,4.38458318939492
COL21A1,-2.19686135721079
COL22A1,2.30929983592552
COL4A1,2.25636705063897
COL4A2,1.9247660569786298
COL4A3,-1.95842666671073
COL5A1,2.23524633845948
COL5A2,2.52110523134617
COL6A1,1.5559398906726598
COL6A2,1.9683553939425098
COLCA1,-2.13773035515979
COLCA2,-1.8027816113943702
COPZ2,-2.06705341107344
CORT,-3.07924796863984
COX10-AS1,1.6119108111778302
COX14,-1.6653473320995
COX16,-1.16855869651079
COX17,-1.2136141750649199
COX4I1,-1.6214838446409399
COX5A,-1.2664637258801499
COX5B,-1.5856144227434001
COX6A1,-1.40856690013094
COX6A1P2,-2.35967267235229
COX6C,-1.8357455935707399
COX7A1,-3.28077895382365
COX7A2,-1.6931614750336
COX7B,-1.57940087697559
COX7C,-1.73619519969928
CPA1,-4.11840442731811
CPA2,-2.76329591719379
CPB1,-3.0977963361761898
CPLX2,-4.189754983656621
CPLX3,-2.6939966419083703
CPNE6,-2.50660753472162
CPQ,-1.26949179541317
CPXM1,4.51172345583904
CPXM2,-3.1421088810900897
CRB2,1.7874600034486001
CREB5,1.6729142921340099
CREG2,-3.3061326891096003
CRHBP,-3.6232159180892793
CRIP2,-1.03956284970984
CRISPLD2,-2.10006113169004
CROCCP2,1.3288744964876098
CRYBG3,1.9003819518773402
CRYL1,-1.5182447085637598
CRYM,-8.12721029104742
CSMD2,3.0521183711002404
CSNK2B-LY6G5B-1181,-1.8088685328977998
CSPG4,2.54463889814588
CSPG4P10,2.52043442095868
