"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log2FoldChange","Symbol"
"IL6",1.09820740766074e-21,-0.528338599063929,0.027,0.149,2.89674167918673e-17,-0.528338599063929,"IL6"
"CXCL2",1.20909468951838e-21,-1.07637748767788,0.23,0.477,3.18922906254263e-17,-1.07637748767788,"CXCL2"
"PPIB",2.76993590367015e-21,0.649813122059346,0.907,0.829,7.30625993311076e-17,0.649813122059346,"PPIB"
"ANXA1",2.81225913605243e-21,0.932575159405642,0.817,0.648,7.4178959231655e-17,0.932575159405642,"ANXA1"
"CFL1",2.99991174087726e-21,0.545976495532334,0.864,0.754,7.91286719891194e-17,0.545976495532334,"CFL1"
"LTF",3.88122892437308e-21,-0.577514718703602,0.375,0.69,1.02375175338189e-16,-0.577514718703602,"LTF"
"EGR1",4.75261501033981e-21,-0.706255363600771,0.327,0.591,1.25359726127733e-16,-0.706255363600771,"EGR1"
"CD24",5.47306431670874e-21,0.841724484184414,0.505,0.214,1.44363017481826e-16,0.841724484184414,"CD24"
"CTSD",5.57248370654058e-21,0.638990121519348,0.83,0.641,1.46985402727421e-16,0.638990121519348,"CTSD"
"KRTCAP2",7.78098739063739e-21,0.540521471000344,0.855,0.73,2.05239104402843e-16,0.540521471000344,"KRTCAP2"
"CTSC",9.2893968399329e-21,-0.649665507088756,0.709,0.872,2.4502642044691e-16,-0.649665507088756,"CTSC"
"CCNO",1.01580005644443e-20,-0.672081719449843,0.41,0.655,2.67937580888348e-16,-0.672081719449843,"CCNO"
"UQCR11",1.1891917446476e-20,0.516991964472242,0.858,0.744,3.13673106485697e-16,0.516991964472242,"UQCR11"
"CAPN13",2.31376077661564e-20,0.734591313482711,0.502,0.235,6.10300680047907e-16,0.734591313482711,"CAPN13"
"HES4",2.5465877132972e-20,-0.506661485198872,0.576,0.783,6.71713441136402e-16,-0.506661485198872,"HES4"
"CNIH4",2.80325320791043e-20,0.457101692404512,0.375,0.1,7.39414098650534e-16,0.457101692404512,"CNIH4"
"DYNLL1",3.51604955747283e-20,0.552931111663532,0.666,0.402,9.27428391774608e-16,0.552931111663532,"DYNLL1"
"SERF2",3.72015838512884e-20,0.427580006258156,0.987,0.993,9.81266177245435e-16,0.427580006258156,"SERF2"
"IER2",3.78054175511357e-20,-0.64142914518539,0.485,0.708,9.97193498746307e-16,-0.64142914518539,"IER2"
"C3",5.58369910935549e-20,-0.796942137264922,0.769,0.897,1.4728123140747e-15,-0.796942137264922,"C3"
"PFN1",9.31030227031334e-20,0.503345459940119,0.923,0.847,2.45577842984055e-15,0.503345459940119,"PFN1"
"S100A11",1.39523053647006e-19,0.605043002712721,0.989,0.968,3.68019958604708e-15,0.605043002712721,"S100A11"
"CP",2.18150035883303e-19,0.60821649108201,0.899,0.797,5.7541434964939e-15,0.60821649108201,"CP"
"CSTB",2.8641056305819e-19,0.615888452762951,0.91,0.808,7.55465142178589e-15,0.615888452762951,"CSTB"
"LCN2",3.34814538584437e-19,-0.821076660883739,0.943,0.975,8.8314030842417e-15,-0.821076660883739,"LCN2"
"PTMA",5.31485279835321e-19,0.41633497716339,0.995,0.993,1.40189872262162e-14,0.41633497716339,"PTMA"
"IGFBP4",6.91256267434651e-19,0.51095135188437,0.385,0.117,1.82332665661238e-14,0.51095135188437,"IGFBP4"
"COX7A2",7.06833330830574e-19,0.527478955077587,0.836,0.726,1.8644142767318e-14,0.527478955077587,"COX7A2"
"UQCRQ",7.09321458854162e-19,0.499233990890431,0.861,0.758,1.87097721201962e-14,0.499233990890431,"UQCRQ"
"NRP2",7.21276723998723e-19,0.510190225595469,0.394,0.132,1.90251161489143e-14,0.510190225595469,"NRP2"
