ID,Z_RGES
Z2501266570,-2.5290197413863726
Z1238914086,-2.5290197413863726
Z1384020524,-2.5289461061922656
Z1205139418,-2.5230833561579322
Z738154146,-2.5230833561579322
Z1525952547,-2.5230833561579322
Z1416658476,-2.5230833561579322
Z1591153201,-2.5230833561579322
Z106732898,-2.5230833561579322
Z1511499171,-2.5230833561579322
Z2642362971,-2.5230833561579322
Z56823925,-2.5156743987526298
Z1262176279,-2.5156743987526298
Z366032554,-2.5156743987526298
Z2616465249,-2.5153765467511273
Z449635946,-2.5077672618440676
Z1929623920,-2.5032540363622537
Z1020850502,-2.503087800269074
Z239095412,-2.4976349268616183
Z1897438111,-2.4976349268616183
Z917561746,-2.496727149617941
Z328694472,-2.4953072695714824
Z2714326548,-2.4917105014715157
Z20245753,-2.487440852151368
Z4002428562,-2.487440852151368
Z1222816752,-2.486562299341387
Z1420831577,-2.486562299341387
Z441624462,-2.4843851321164454
Z1533407070,-2.4819234838118636
Z1203517977,-2.4819057739944457
Z1499153631,-2.4784643305499907
Z2297702970,-2.4784643305499907
Z3063546091,-2.4784643305499907
Z2964873049,-2.4784643305499907
Z197858946,-2.4784643305499907
Z196180554,-2.478405308388047
Z1255806200,-2.475503803151176
Z109379624,-2.475503803151176
Z2922221958,-2.475503803151176
Z218141336,-2.472914002130162
Z218560662,-2.4694970233993354
Z1000627016,-2.4657483972195893
Z1261264691,-2.4657483972195893
Z69031810,-2.465601999846387
Z332867212,-2.4641343081055567
Z1569437399,-2.4600171930977615
Z1562356677,-2.4589358194054274
Z1128929134,-2.454844489189794
Z445349764,-2.454844489189794
Z1651633679,-2.454844489189794
Z2938600645,-2.454844489189794
Z3406730177,-2.454844489189794
Z979894186,-2.4527644437812404
Z2784489006,-2.452296580180268
Z2974176082,-2.448700849259736
Z3046883731,-2.447417420383382
Z56754471,-2.446572071680193
Z226794972,-2.446572071680193
Z1633146313,-2.4447713626083583
Z1262260019,-2.4402962410345834
Z127098706,-2.4402962410345834
Z2111859059,-2.4402962410345834
Z432350760,-2.4402962410345834
Z56982720,-2.4402962410345834
Z3133973549,-2.4394483319494604
Z751265910,-2.4394483319494604
Z1478444586,-2.4394483319494604
Z1172207058,-2.4394483319494604
Z3216001462,-2.438049806867617
Z300334470,-2.437768788203738
Z223081060,-2.437768788203738
Z1384019326,-2.4371939575275574
Z295464004,-2.4371939575275574
Z2295627521,-2.4344634704071813
Z119169490,-2.4344634704071813
Z56887542,-2.4343996121604823
Z2682987284,-2.4343996121604823
Z3290660308,-2.4326866001000056
Z1016569714,-2.428161013799323
Z1725547170,-2.42720664654193
Z749769508,-2.42720664654193
Z1343870095,-2.426287403359609
Z95890493,-2.4254322503154944
Z1055035350,-2.4252678426341667
Z44368435,-2.424097760388259
Z56820823,-2.4237625320466236
Z3052206689,-2.423239436987697
Z1254234674,-2.4228849309564415
Z1966539889,-2.42244445938213
Z1679925936,-2.42244445938213
Z17749685,-2.4220382409163737
Z2644845254,-2.4218090727169033
Z1167673090,-2.4218090727169033
Z52363181,-2.4207203668783945
Z990857932,-2.4196738412289047
Z413217204,-2.4168448443649364
Z1318109177,-2.4168448443649364
Z2297570508,-2.4168448443649364
Z1325286290,-2.415699999514154
Z661698284,-2.4131443764172693
Z125605086,-2.4131443764172693
Z3482423565,-2.4117210379656515
Z1528230725,-2.4091257809017526
Z285689300,-2.4091257809017526
Z2506282702,-2.4091257809017526
Z1003914038,-2.408841139737788
Z220419248,-2.4083965137856653
Z424384152,-2.4079150407790624
Z1383556003,-2.4005835223412877
Z1139331521,-2.4005835223412877
Z2242920198,-2.4005835223412877
Z983859810,-2.4005835223412877
Z1264382871,-2.4005835223412877
Z227429668,-2.4005835223412877
Z26770204,-2.4005835223412877
Z1033301252,-2.399070564162251
Z1974305460,-2.3983296696480876
Z3771637867,-2.3982482535186502
Z1055015340,-2.3982482535186502
Z756952478,-2.3978387989895977
Z1395139123,-2.3978387989895977
Z1958813652,-2.3978387989895977
Z3876015401,-2.3978387989895977
Z26922077,-2.3978387989895977
Z2936910796,-2.3978387989895977
Z978728710,-2.3978387989895977
Z243254580,-2.3978387989895977
Z2582963993,-2.3978387989895977
Z57382838,-2.391941621189213
Z2019029794,-2.391941621189213
Z2965848807,-2.391941621189213
Z2273904568,-2.391941621189213
Z1486465119,-2.391941621189213
Z1143418837,-2.391941621189213
Z886733688,-2.391941621189213
Z734187710,-2.391941621189213
