"","pert_iname","mean","n","median","sd","sRGES"
"3025","BRD-K07381195",-0.221739270390325,2,-0.221739270390325,0.0098604429159816,-0.221739270390325
"3026","BRD-K07275921",-0.221687728971761,2,-0.221687728971761,0.00447581633145718,-0.221687728971761
"3027","BRD-K51155404",-0.22163633879153,10,-0.295998078853868,0.173320949639323,-0.22163633879153
"3028","BRD-K71943487",-0.221607891941331,1,-0.221607891941331,NA,-0.221607891941331
"3029","tacedinaline",-0.221561397187856,49,-0.169672243816377,0.163261022899759,-0.221561397187856
"3030","BRD-K22846014",-0.221528983861767,1,-0.221528983861767,NA,-0.221528983861767
"3031","SA-1939126",-0.221435651330551,2,-0.221435651330551,0.119660512648593,-0.221435651330551
"3032","BRD-K73951926",-0.221424676209952,2,-0.221424676209952,0.130151992539871,-0.221424676209952
"3033","mofezolac",-0.221407076808878,2,-0.221407076808878,0.0377846629701524,-0.221407076808878
"3034","BRD-K41763112",-0.221389759698659,2,-0.221389759698659,0.116675028939343,-0.221389759698659
"3035","BRD-K40471863",-0.221386351382368,2,-0.221386351382368,0.237230228014031,-0.221386351382368
"3036","PQ-401",-0.221367875031663,10,-0.281015399345134,0.153715024564875,-0.221367875031663
"3037","BRD-K36290066",-0.221348859903158,1,-0.221348859903158,NA,-0.221348859903158
"3038","BRD-K42620042",-0.221330682216269,3,-0.10847224095292,0.211585629135508,-0.221330682216269
"3039","BRD-K40329609",-0.221318572149215,10,-0.254375720298994,0.140333360384714,-0.221318572149215
"3040","BRD-K09641927",-0.221285547649334,2,-0.221285547649334,0.137731944979605,-0.221285547649334
"3041","BRD-K69075782",-0.22121593556778,2,-0.22121593556778,0.186696434599172,-0.22121593556778
"3042","chrysamine-g",-0.221165644171779,1,-0.221165644171779,NA,-0.221165644171779
"3043","BRD-K65608865",-0.221137544293069,1,-0.221137544293069,NA,-0.221137544293069
"3044","BRD-A05565054",-0.221075612932955,6,-0.293773006134969,0.21233216046512,-0.221075612932955
"3045","ataluren",-0.221036128152693,1,-0.221036128152693,NA,-0.221036128152693
"3046","BRD-K24595067",-0.220994395008816,1,-0.220994395008816,NA,-0.220994395008816
"3047","BRD-K43605845",-0.220987578376233,2,-0.220987578376233,0.121736120420228,-0.220987578376233
"3048","hydroxyl",-0.220976851180773,15,-0.192166855813178,0.160206849237585,-0.220976851180773
"3049","BRD-K70810261",-0.220960311845898,1,-0.220960311845898,NA,-0.220960311845898
"3050","BRD-K62300190",-0.220953770742075,3,-0.230967404007242,0.0964200876861408,-0.220953770742075
"3051","CGS-21680",-0.220947372474203,4,-0.276271023067016,0.163049268144378,-0.220947372474203
"3052","MST-312",-0.2209290669703,31,-0.248104418322171,0.155856085926993,-0.2209290669703
"3053","BRD-K02274189",-0.220926228682981,1,-0.220926228682981,NA,-0.220926228682981
"3054","BRD-K08607084",-0.220923374805257,2,-0.220923374805257,0.00689793911341086,-0.220923374805257
"3055","BRD-K84421793",-0.220913242826318,12,-0.259938092487133,0.198931056475302,-0.220913242826318
"3056","BRD-K83725960",-0.220908670296668,1,-0.220908670296668,NA,-0.220908670296668
"3057","BRD-K19677752",-0.220818074203282,5,-0.171949556918882,0.176975673930751,-0.220818074203282
"3058","bisbenzimide",-0.220605172314758,6,-0.271536871737772,0.196711196991674,-0.220605172314758
"3059","BRD-K10114046",-0.220583325527703,8,-0.256448255514186,0.193977083021447,-0.220583325527703
"3060","bufalin",-0.220499724732652,17,-0.219740410142212,0.14189818263755,-0.220499724732652
"3061","BRD-K01621458",-0.220498016771677,19,-0.267132255845407,0.188784231068229,-0.220498016771677
"3062","K784-3187",-0.220405336382567,26,-0.300401902412619,0.170750354884162,-0.220405336382567
"3063","terbinafine",-0.220242754682401,3,-0.252671562153118,0.121848863003591,-0.220242754682401
"3064","WAY-262611",-0.22008161365113,3,-0.305425481716854,0.15703545759358,-0.22008161365113
"3065","BRD-K32859585",-0.220080966242626,1,-0.220080966242626,NA,-0.220080966242626
"3066","BRD-K82777549",-0.220036658130834,2,-0.220036658130834,0.126300742927274,-0.220036658130834
"3067","BRD-K74486276",-0.220026194393345,10,-0.222470471491905,0.111821094068103,-0.220026194393345
"3068","SA-424828",-0.220015831829017,6,-0.183953230224244,0.128171322576745,-0.220015831829017
"3069","BRD-K53594827",-0.21989980867431,1,-0.21989980867431,NA,-0.21989980867431
"3070","BRD-K17086338",-0.219875491031288,5,-0.27407578846532,0.146328829932353,-0.219875491031288
"3071","BG-1029",-0.219832713591896,6,-0.25822398830219,0.105512074788669,-0.219832713591896
"3072","BRD-K20163346",-0.219702126329388,1,-0.219702126329388,NA,-0.219702126329388
"3073","BRD-K82971429",-0.219671056930129,13,-0.26428084526244,0.155819364113878,-0.219671056930129
"3074","BRD-K80732408",-0.219665151655032,1,-0.219665151655032,NA,-0.219665151655032
"3075","BRD-K30409687",-0.219591614452333,2,-0.219591614452333,0.111534771457117,-0.219591614452333
"3076","UGISS-451",-0.21949765545981,3,-0.217770961145194,0.141978160764919,-0.21949765545981
"3077","SNS-314",-0.219496027724233,10,-0.248663661103825,0.156943619537243,-0.219496027724233
"3078","BRD-K95409124",-0.219483994086716,1,-0.219483994086716,NA,-0.219483994086716
"3079","5-methoxy-alpha-methyltryptamine",-0.219460928206288,1,-0.219460928206288,NA,-0.219460928206288
"3080","BG-1003",-0.219445301640067,6,-0.189774772214936,0.0909498795640872,-0.219445301640067
"3081","BRD-K57321627",-0.219443611096069,2,-0.219443611096069,0.13731946209423,-0.219443611096069
"3082","BRD-K75971499",-0.219324874464425,4,-0.252296926270833,0.223695724997999,-0.219324874464425
"3083","ethaverine",-0.219295428693166,3,-0.243537832310838,0.157212775975262,-0.219295428693166
"3084","mocetinostat",-0.219224294270093,16,-0.224290791301508,0.11534250399994,-0.219224294270093
"3085","BRD-K14654869",-0.219204512150792,1,-0.219204512150792,NA,-0.219204512150792
"3086","BRD-K72066167",-0.219133454313519,1,-0.219133454313519,NA,-0.219133454313519
"3087","BRD-K98990727",-0.219099371150602,1,-0.219099371150602,NA,-0.219099371150602
"3088","BRD-K67959996",-0.218904580317118,1,-0.218904580317118,NA,-0.218904580317118
"3089","Broad-Sai-609",-0.218900222217644,6,-0.167886427224926,0.139067422600156,-0.218900222217644
"3090","BRD-K67771738",-0.218894872173097,1,-0.218894872173097,NA,-0.218894872173097
"3091","BRD-K07023879",-0.218669627362853,9,-0.275316415595518,0.238281092319924,-0.218669627362853
"3092","BRD-A70541707",-0.218559046434276,3,-0.235173266311264,0.113005346527422,-0.218559046434276
"3093","7b-cis",-0.218483661631851,53,-0.242603953646898,0.157316571658545,-0.218483661631851
"3094","BRD-K78133682",-0.218445081919496,10,-0.251854124062713,0.154402593537204,-0.218445081919496
"3095","BRD-K74043769",-0.218404491301272,2,-0.218404491301272,0.00296858440249838,-0.218404491301272
"3096","BRD-K31449336",-0.218322275036083,2,-0.218322275036083,0.260988437451444,-0.218322275036083
"3097","BRD-K04937680",-0.218301825138332,1,-0.218301825138332,NA,-0.218301825138332
"3098","BRD-K08317416",-0.218282679394334,10,-0.302163864171075,0.277964595223627,-0.218282679394334
"3099","BRD-K37010295",-0.218195650528434,1,-0.218195650528434,NA,-0.218195650528434
"3100","BRD-K91738333",-0.218165492486662,1,-0.218165492486662,NA,-0.218165492486662
"3101","BRD-K58745468",-0.218134817640036,2,-0.218134817640036,0.131082269354929,-0.218134817640036
"3102","BRD-K23412959",-0.217947821712622,12,-0.254474840381262,0.150016040825209,-0.217947821712622
"3103","BRD-K23664396",-0.217935172734542,2,-0.217935172734542,0.213618665797702,-0.217935172734542
"3104","BRD-K24677486",-0.217925900081565,4,-0.21250852079073,0.0172006980007933,-0.217925900081565
"3105","BRD-K48306626",-0.21791616859251,1,-0.21791616859251,NA,-0.21791616859251
"3106","BRD-A58924247",-0.217854214130817,11,-0.242310280626193,0.101860174848592,-0.217854214130817
"3107","BRD-K44787412",-0.217841530170661,3,-0.349790742552974,0.268298531430386,-0.217841530170661
"3108","mycophenolate-mofetil",-0.217828382888771,13,-0.256857532379005,0.166474252088342,-0.217828382888771
"3109","BRD-K97924168",-0.217804210959736,2,-0.217804210959736,0.0493673323306931,-0.217804210959736
"3110","auranofin",-0.217792149698898,50,-0.235895829365116,0.142548654287607,-0.217792149698898
"3111","K784-3188",-0.217650931177893,30,-0.279297607934091,0.159807903371759,-0.217650931177893
"3112","BRD-K74647590",-0.217620161879982,2,-0.217620161879982,0.0420311597269716,-0.217620161879982
"3113","BRD-K98168679",-0.217620161879982,2,-0.217620161879982,0.125611470468449,-0.217620161879982
"3114","BRD-K76418961",-0.217585517985472,7,-0.201812390918836,0.164117482099782,-0.217585517985472
"3115","BRD-K74704013",-0.21755881218673,1,-0.21755881218673,NA,-0.21755881218673
"3116","BRD-K46532981",-0.217548587237855,2,-0.217548587237855,0.151124191619235,-0.217548587237855
"3117","BRD-K88608081",-0.217524729023812,1,-0.217524729023812,NA,-0.217524729023812
"3118","lonidamine",-0.217487785768565,35,-0.251240069310583,0.201918147319009,-0.217487785768565
"3119","BRD-K47342144",-0.217294409271692,2,-0.217294409271692,0.0965635808479462,-0.217294409271692
"3120","K784-3131",-0.217267581427335,30,-0.266550505002939,0.140051345371781,-0.217267581427335
"3121","BRD-K52225919",-0.217207985587059,5,-0.257886010550738,0.190711412580921,-0.217207985587059
"3122","BRD-K78032863",-0.217183897394637,1,-0.217183897394637,NA,-0.217183897394637
"3123","BRD-K39805076",-0.217173155640908,1,-0.217173155640908,NA,-0.217173155640908
"3124","BRD-K69304050",-0.217125884574949,5,-0.251894466038599,0.155032676419777,-0.217125884574949
"3125","CMPD-1",-0.217117893284547,9,-0.244478527607362,0.131107669963405,-0.217117893284547
"3126","BRD-K30468800",-0.217025290049024,2,-0.217025290049024,0.126543597062598,-0.217025290049024
"3127","zearalenone",-0.216989134669081,3,-0.333769039999063,0.212605829902549,-0.216989134669081
"3128","metrizamide",-0.216857253469197,2,-0.216857253469197,0.0141417411856982,-0.216857253469197
"3129","BRD-K46674611",-0.216822891396472,1,-0.216822891396472,NA,-0.216822891396472
"3130","BRD-K66261897",-0.216761913582964,3,-0.31815269256987,0.17910232071229,-0.216761913582964
"3131","BRD-K13417398",-0.216757341053314,1,-0.216757341053314,NA,-0.216757341053314
"3132","BRD-K58347372",-0.216732509092919,10,-0.240459843789579,0.175692073292712,-0.216732509092919
"3133","BRD-K23872111",-0.216691137288052,2,-0.216691137288052,0.143091881862219,-0.216691137288052
"3134","BRD-K84239628",-0.216661908197145,1,-0.216661908197145,NA,-0.216661908197145
"3135","BRD-K71701252",-0.216613987489626,11,-0.248888331069274,0.231704038863623,-0.216613987489626
"3136","SA-1456220",-0.216572328136414,3,-0.29338310792448,0.139584246846009,-0.216572328136414
"3137","BRD-K43838150",-0.21657081713631,2,-0.21657081713631,0.0248517799484215,-0.21657081713631
"3138","BRD-K47692589",-0.21655139632009,2,-0.21655139632009,0.170407315597625,-0.21655139632009
