ID,Z_RGES,Z_Up,Z_Down,Penalty,Similarity,SMILES,LogS
ZINC000409027734,-4.831867325831047,-2.734379400039201,2.097487925791845,0.02155239127070113,0.3076923076923077,COc1ccc(N(CC(=O)Nc2ccc(F)c(Cl)c2)S(=O)(=O)c2ccc(C)cc2)c(OC)c1,-6.278
ZINC000002880805,-6.725438630726326,-4.496090672657768,2.2293479580685567,0.12211731930041787,0.3958333333333333,O=C(c1cccc([N+](=O)[O-])c1)N(Cc1ccc(Cl)cc1Cl)N1C(=O)c2ccccc2C1=O,-5.97
ZINC000009720776,-6.057891468061807,-3.242226002289892,2.8156654657719145,0.043530413248723115,0.3888888888888889,O=[N+]([O-])c1cc(C(F)(F)F)ccc1NCC/N=C/c1cc(Br)ccc1O,-5.511
ZINC000012339773,-6.1497380120238905,-3.3484327532851017,2.8013052587387883,0.06353505649280297,0.40425531914893614,O=[N+]([O-])c1cc(C(F)(F)F)cc([N+](=O)[O-])c1N/N=C/c1cc(Cl)cc(Cl)c1O,-5.117
ZINC000012403900,-6.619726818604351,-3.6322578540892105,2.9874689645151404,0.032115771552391266,0.3389830508474576,CC1=NN(c2nc(-c3ccccc3)cs2)C(=O)/C1=N\Nc1ccc(Cl)c([N+](=O)[O-])c1,-7.172000000000001
ZINC000012403916,-5.389658103799441,-3.2342848201500445,2.1553732836493964,0.0545194242377341,0.3050847457627119,CC(=O)c1cccc(N/N=C2\C(=O)N(c3nc(-c4ccc(Cl)cc4)cs3)N=C2C)c1,-5.317
ZINC000015016621,-6.349377532003612,-3.805522160207984,2.5438553717956287,0.03782309240055719,0.3269230769230769,CN1C(=O)/C(=C2/C(=O)Nc3ccc(Br)cc32)S/C1=N\c1ccc(Cl)cc1,-4.421
ZINC000015276626,-4.903247288935467,-2.740472809529736,2.162774479405731,0.0407057731001393,0.32,CC1(C)C(=O)O[C@@H](/C(=N/Nc2ccccc2)c2ccc(Br)cc2)C(C)(C)C1=O,-5.406000000000001
ZINC000027497338,-4.373934070010342,-2.2536463709751127,2.120287699035228,0.02528633338492493,0.31666666666666665,CC1=NN(c2nc(-c3cccc([N+](=O)[O-])c3)cs2)C(=O)/C1=N/Nc1c(C)cc(C)cc1C,-7.285
ZINC000100149549,-6.405204059911448,-3.8465462118542826,2.558657848057165,0.04134421916112057,0.375,CC1=NN(c2nc(-c3cccc([N+](=O)[O-])c3)cs2)C(=O)/C1=N/Nc1ccccc1Cl,-7.24
