Compound ID	SMILES
KV-00040929	O=C1c2cc(S(=O)(=O)NC3CCCCC3)cc([N+](=O)[O-])c2-c2c1cc(S(=O)(=O)NC1CCCCC1)cc2[N+](=O)[O-]
KV-00040930	NNC(=O)C(Cc1c[nH]cn1)NC(=O)OCc1ccccc1
KV-00040931	O=C(CC1(O)C(=O)Nc2ccccc21)c1ccccc1
KV-00040932	O=C(Nc1ccccc1)Oc1ccccc1
KV-00040933	Cn1c(=O)c2c3nc4ccc(F)cc4cc3c(=O)n(-c3ccccc3)c2n(C)c1=O
KV-00040934	CCOC(=O)NC(Nc1ccccc1C(F)(F)F)(C(=O)OCC)C(F)(F)F
KV-00040935	CCOC(=O)NC(Nc1ccc(C)cc1)(C(=O)OCC)C(F)(F)F
KV-00040936	NC(=O)c1cc2c(c([N+](=O)[O-])c1)-c1c(cc(C(N)=O)cc1[N+](=O)[O-])C2=O
KV-00040938	O=C(O)c1ccc(-c2ccc(Cl)cc2)o1
KV-00040939	Cn1c(=O)c2c3nc4ccccc4cc3c(=O)n(-c3ccccc3)c2n(C)c1=O
KV-00040940	CC(=O)OC(C)(C)/C=C/C(=O)C(C)(O)C1[C@H](O)C[C@@]2(C)C3CC=C4C(CC[C@@H](O)C4(C)C)[C@]3(CO)C(=O)C[C@]12C
KV-00040941	O/N=C1/c2ccccc2-c2ccc(I)cc21
KV-00040942	CCOC(=O)NC(Nc1ccccc1)(C(=O)OCC)C(F)(F)F
KV-00040943	CCOC(=O)NC(Nc1ccc(C)c(C)c1)(C(=O)OCC)C(F)(F)F
KV-00040944	CCOC(=O)C(NC(=O)c1cccc(Cl)c1)(Nc1ccc(F)c(F)c1F)C(F)(F)F
KV-00040945	CC(C)CCNC(=O)Oc1ccccc1
KV-00040946	O=C1c2cc(Br)ccc2-c2ccc(Br)cc21
KV-00040947	N=C(NCCCC(NC(=O)OCc1ccccc1)C(=O)O)N[N+](=O)[O-]
KV-00040948	CC(C)(C)NS(=O)(=O)c1cc2c(c([N+](=O)[O-])c1)-c1c(cc(S(=O)(=O)NC(C)(C)C)cc1[N+](=O)[O-])C2=O
KV-00040949	CCOc1cc([N+](=O)[O-])c(OCC)cc1N1CCOCC1
KV-00040950	CCOC(=O)CS(=O)(=O)C(c1ccccc1)S(=O)(=O)CC(=O)OCC
KV-00040951	O=S(=O)(CCc1nc2ccccc2[nH]1)CCc1nc2ccccc2[nH]1
KV-00040952	CCN(c1ccccc1)S(=O)(=O)c1cc([N+](=O)[O-])ccc1N
KV-00040953	CNS(=O)(=O)c1ccc2c(c1)Cc1cc(S(=O)(=O)NC)ccc1-2
KV-00040954	Cc1ccc(S(=O)(=O)NC(=N)NCCCC(NC(=O)OCc2ccccc2)C(=O)O)cc1
KV-00040955	CNC(=O)Oc1cccc2ccccc12
KV-00040956	O=C(NC1CCCCC1)Oc1ccccc1
KV-00040957	CCOC(=O)C(NC(=O)c1cccc(Cl)c1)(Nc1ccc(C(F)(F)F)cc1)C(F)(F)F
KV-00040958	CCOC(=O)NC(Nc1ccc(F)c(Cl)c1)(C(=O)OCC)C(F)(F)F
KV-00040959	CC1(C)CN=C(N(C(=O)Nc2ccccc2)c2ccc(Cl)cc2)S1
KV-00040960	O=[N+]([O-])c1ccc2c(c1)/C(=N\O)c1ccccc1-2
KV-00040961	O=C(c1cccc2c1-c1ccccc1C2)N1CCOCC1
KV-00040962	Cn1c(=O)c2cc3ccccc3nc2c2c(=O)n(-c3ccccc3)c(=O)n(-c3ccccc3)c21
KV-00040963	NC(=O)c1cccc2c1-c1ccccc1C2=O
KV-00040964	O=C(c1cccc2c1-c1ccccc1C2)N1CCCCC1
KV-00040965	NN=C1c2cc(Br)ccc2-c2ccc(Br)cc21
KV-00040966	CC(C)(C)NC(=O)c1cccc2c1-c1ccccc1C2=O
KV-00040967	CCOC(=O)NC(NCc1ccc(F)cc1)(C(=O)OCC)C(F)(F)F
KV-00040968	CCOC(=O)C(NC(=O)c1cccc(Cl)c1)(Nc1cccc(C(F)(F)F)c1)C(F)(F)F
KV-00040969	O=C1/C(=C/c2ccc(Cl)cc2)C(c2ccccc2)Oc2ccccc21
KV-00040970	CC(C)NC(=O)Oc1cccc(Cl)c1
KV-00040971	CCCC(CC(=O)O)(C(=O)O)c1ccccc1
KV-00040972	CCNS(=O)(=O)c1cc2c(c([N+](=O)[O-])c1)-c1c(cc(S(=O)(=O)NCC)cc1[N+](=O)[O-])C2=O
KV-00040973	O=C(c1cccc2ccccc12)N1CCc2[nH]c3ccc(F)cc3c2C1
KV-00040974	Cc1ccn2c(C(=O)N/N=C/c3ccc(Cl)cc3)c(C)nc2c1
KV-00040975	Cc1nc2c(C)cccn2c1C(=O)N/N=C/c1ccccc1[N+](=O)[O-]
KV-00040976	O=C(c1ccc(Cl)cc1Cl)N1CCc2[nH]c3ccc(F)cc3c2C1
KV-00040977	O=C1c2cc(S(=O)(=O)NCc3ccccc3)ccc2-c2ccc(S(=O)(=O)NCc3ccccc3)cc21
KV-00040978	O=C(CCC(NC(=O)OCc1ccccc1)C(=O)O)OCc1ccccc1
KV-00040979	COc1ccc(OC(=O)NCCc2ccccc2)cc1
KV-00040980	O=C1/C(=C\c2cccc(Cl)c2)C(c2ccccc2)Oc2ccccc21
KV-00040981	CCOC(=O)C(NC(=O)c1cccc(Cl)c1)(Nc1ccccc1C(F)(F)F)C(F)(F)F
KV-00040982	CCOC(=O)NC(NCc1ccccc1)(C(=O)OCC)C(F)(F)F
KV-00040983	CC(C)OC(=O)c1cccc2c1C(=O)c1ccccc1-2
KV-00040984	ON=C1c2cc(Br)ccc2-c2ccc(Br)cc21
KV-00040985	CN(C)C(=O)c1cc([N+](=O)[O-])cc2c1-c1ccc([N+](=O)[O-])cc1C2=O
KV-00040986	O=C(O)CCCc1ccc2c(c1)OCCO2
KV-00040987	CCCCCCC(=O)c1ccc(Br)cc1
KV-00040988	O=C1C=C(Nc2cccc(O)c2)c2ccccc2C1=O
KV-00040989	NN=C1c2cc([N+](=O)[O-])ccc2-c2ccc([N+](=O)[O-])cc21
KV-00040990	COC(=O)c1cccc2c1C(=O)c1ccccc1-2
KV-00040991	CCOC(=O)NC(Nc1ccccc1F)(C(=O)OCC)C(F)(F)F
KV-00040992	CCOC(=O)C(NC(=O)c1cccc(Cl)c1)(Nc1ccc(F)cc1)C(F)(F)F
KV-00040993	O=C1/C(=C\c2ccccc2Cl)C(c2ccccc2)Oc2ccccc21
KV-00040994	CC(C)(C)NC(=O)Oc1ccc(Cl)cc1
KV-00040995	C=CCOC(=O)C(CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21
KV-00040996	CNS(=O)(=O)c1cc2c(c([N+](=O)[O-])c1)-c1c(cc(S(=O)(=O)NC)cc1[N+](=O)[O-])C2=O
KV-00040997	O=C(C1CCCCC1)N1CCc2[nH]c3ccc(F)cc3c2C1
KV-00040998	CCC1(c2cccc(OC(=O)C3CCCCC3)c2)CCCCN(C)C1=O
KV-00040999	COc1ccccc1C1CCN(S(=O)(=O)c2ccc(C)cc2)CC1
KV-00041000	C=CCNC(=O)N1CCc2[nH]c3ccc(F)cc3c2C1
