ID,Z_RGES
Z367553418,-2.8070213265553976
Z228410042,-2.806672486944571
Z235354587,-2.805996572021698
Z454020842,-2.8036521844232083
Z1240714796,-2.800431002781381
Z185380124,-2.7999931845917727
Z226436960,-2.7998521668170504
Z166626884,-2.7989790069623837
Z62810390,-2.7989642153252796
Z1934721730,-2.798538044018117
Z2846391541,-2.798538044018117
Z1562979519,-2.798538044018117
Z56802778,-2.798538044018117
Z2965721438,-2.798538044018117
Z2242886560,-2.798538044018117
Z2188946583,-2.798538044018117
Z63660264,-2.798538044018117
Z1912479769,-2.798538044018117
Z128120494,-2.798538044018117
Z2940559565,-2.798538044018117
Z3615237334,-2.798538044018117
Z236410686,-2.798538044018117
Z1420064892,-2.798538044018117
Z808258500,-2.798538044018117
Z57967352,-2.798538044018117
Z1635951821,-2.798538044018117
Z1704321414,-2.798538044018117
Z3063579029,-2.798538044018117
Z595523966,-2.798538044018117
Z56792080,-2.798451814240703
Z2368529290,-2.79786594125674
Z56849720,-2.79786594125674
Z2185028917,-2.79786594125674
Z1699877617,-2.7976728729207236
Z383196458,-2.7967318322992045
Z1891236388,-2.7957878151526785
Z3919999861,-2.79474323935613
Z370882030,-2.7931714549396336
Z1411185324,-2.792675654355743
Z1229933243,-2.791916772950075
Z223834110,-2.7904208365573178
Z1556582756,-2.7904208365573178
Z1627340350,-2.7904208365573178
Z212849692,-2.7904208365573178
Z128123898,-2.789815915733789
Z220408128,-2.789815915733789
Z424306794,-2.7894509197008763
Z1264322034,-2.78764121634129
Z4002431140,-2.78764121634129
Z2581563227,-2.7868569753823103
Z56865457,-2.785488699855322
Z225946622,-2.7840368728500104
Z2150071978,-2.7824294332893063
Z391885684,-2.781929270035973
Z1200965555,-2.7788144433855915
Z358322306,-2.7788144433855915
Z1229911582,-2.7780762212392185
Z1421363357,-2.7780762212392185
Z412579218,-2.7780762212392185
Z686108144,-2.7780762212392185
Z2582963924,-2.7780762212392185
Z1021961876,-2.7780762212392185
Z381625440,-2.7780762212392185
Z2582963812,-2.7770153581506434
Z409664694,-2.7770153581506434
Z495737828,-2.7770153581506434
Z56766562,-2.776832775061737
Z108565258,-2.7759199170059934
Z27699870,-2.7759199170059934
Z1213742480,-2.7759199170059934
Z26904934,-2.775476156932566
Z45785808,-2.775476156932566
Z2273538345,-2.7753366395395016
Z1840340372,-2.773470173208273
Z1348340769,-2.772931043450802
Z44487433,-2.7725069067502774
Z2271917508,-2.7725069067502774
Z227429668,-2.772353455031956
Z1569437399,-2.772353455031956
Z3268499442,-2.7718533208262803
Z1507347459,-2.7718533208262803
Z227316140,-2.771666675869679
Z1614556605,-2.771443220143309
Z1828803291,-2.771443220143309
Z1675260957,-2.771443220143309
Z56837681,-2.771443220143309
Z2217680277,-2.771443220143309
Z979330680,-2.7711922337746886
Z1411012917,-2.7711922337746886
Z1570031887,-2.7710749526350016
Z26786447,-2.7709832378542365
Z2936885437,-2.7697399258041777
Z301627288,-2.7688158443099913
Z2968021756,-2.7668812501007487
Z2986452795,-2.7656971001437256
Z2358117697,-2.76531598290343
Z2261232044,-2.7651490928525524
Z1022244064,-2.764280722223248
Z1744964432,-2.764280722223248
Z2701391781,-2.76219328100282
Z234870022,-2.76219328100282
Z989401964,-2.76219328100282
Z941110514,-2.7620690901857126
Z317738302,-2.761926857240778
Z1310919227,-2.761926857240778
Z1548740085,-2.7618928090664614
Z49620703,-2.7617340362822143
Z86239022,-2.761148143338982
Z56824153,-2.761148143338982
Z1302591473,-2.7600019898139716
Z2958506468,-2.759334961695597
Z57038475,-2.759027421933893
Z1222836017,-2.7586245652686605
Z2974177170,-2.7586245652686605
Z1022100880,-2.7586245652686605
Z913543812,-2.7586245652686605
Z2271205076,-2.7585341079409718
Z224341142,-2.75764809458623
Z30538657,-2.7574956378734647
Z280210302,-2.7559168829231244
Z54450680,-2.755904720033283
Z47748439,-2.755904720033283
Z2595830729,-2.755904720033283
Z1647889272,-2.755904720033283
Z1620956593,-2.755904720033283
Z1801860038,-2.755904720033283
Z95890493,-2.755904720033283
Z1725346253,-2.755011612171221
Z354331570,-2.7544187015887367
Z231003892,-2.753064491217291
Z646117802,-2.753064491217291
Z1143057389,-2.7525570667520514
Z1574835909,-2.7525465403143032
Z340537470,-2.750921223956662
Z56824953,-2.750921223956662
Z2497982689,-2.7507586280708387
Z3925262445,-2.749219724793872
Z2045597573,-2.7484373302038634
Z28250818,-2.747798522056052
Z44368435,-2.746878715599694
Z1319528463,-2.7468033805505656
Z285158028,-2.746585603575012
Z234870014,-2.746585603575012
Z1537164994,-2.746558170862898
Z1702972792,-2.7462453986878987
Z1562356677,-2.7457954040523194
Z31564631,-2.7457954040523194
Z56804776,-2.7457954040523194
Z1461123596,-2.743866936170985
Z2907174888,-2.7425765247535105
Z109913168,-2.7421462530533205
Z827691194,-2.7421462530533205
Z3889886170,-2.7390236232629634
Z809753182,-2.7384543282948712
Z2416531509,-2.736390826116039
Z738153296,-2.736390826116039
Z2902496051,-2.736390826116039
Z28143654,-2.736354720133024
Z1486851219,-2.735694178092464
Z111775664,-2.735337840223771
Z1439838821,-2.735337840223771
Z56788525,-2.735337840223771
Z1362463612,-2.735337840223771
Z226318490,-2.735337840223771
Z991011884,-2.735337840223771
Z2735758488,-2.7340612221433744
Z990857842,-2.7332421704407652
Z1229758101,-2.7332200581503505
Z29331255,-2.732748222640696
Z26687954,-2.731824636606502
Z56804793,-2.7316203005242574
Z26917773,-2.730422597582124
Z4135994390,-2.7298353060688525
Z1984130900,-2.7295303117948593
Z2090977739,-2.7295303117948593
Z2722374779,-2.728817053335073
Z82927236,-2.728122424002226
Z1257219130,-2.728085803860365
Z1597871728,-2.728085803860365
Z73445411,-2.728085803860365
Z27786145,-2.728085803860365
Z44305209,-2.728085803860365
Z126938500,-2.728085803860365
Z1819486776,-2.728085803860365
Z104378080,-2.728085803860365
Z442983786,-2.728085803860365
Z2962264565,-2.728085803860365
Z32012516,-2.727848211120554
Z2111645412,-2.7267215557564133
Z1450282970,-2.7262546138671957
Z19673186,-2.724963101959755
Z2297702808,-2.724963101959755
Z1697580474,-2.724963101959755
Z2091004253,-2.724963101959755
Z3900419080,-2.724963101959755
Z303233228,-2.724963101959755
Z1139259492,-2.724963101959755
Z2044803996,-2.724963101959755
