"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log2FoldChange","Symbol"
"IGFBP2",2.4870790063281e-11,1.10983915726932,0.328,0.092,6.56016829499162e-07,1.10983915726932,"IGFBP2"
"GPM6B",2.55112684884457e-11,-0.815893586636213,0.255,0.459,6.72910728919731e-07,-0.815893586636213,"GPM6B"
"IGFBP7",3.32084797696284e-11,0.86726397275272,0.875,0.77,8.75940070883489e-07,0.86726397275272,"IGFBP7"
"RPL31",3.72010006202272e-11,-0.480085551725638,0.9,0.959,9.81250793359733e-07,-0.480085551725638,"RPL31"
"PRDX6",4.6148303068336e-11,-0.670865555692921,0.729,0.857,1.2172537900335e-06,-0.670865555692921,"PRDX6"
"RPLP0",4.82433058780487e-11,-0.627880177718521,0.991,1,1.27251367914529e-06,-0.627880177718521,"RPLP0"
"HIST1H1E",4.82725699500548e-11,-0.393941384589272,0.08,0.24,1.2732855775726e-06,-0.393941384589272,"HIST1H1E"
"RPS14",4.86586861733722e-11,-0.45196260185019,0.986,0.995,1.28347016519504e-06,-0.45196260185019,"RPS14"
"MTDH",5.16784247753891e-11,0.503172109538528,0.723,0.526,1.36312181030044e-06,0.503172109538528,"MTDH"
"EIF5",7.1693516630617e-11,0.509750919853251,0.593,0.337,1.89105988816578e-06,0.509750919853251,"EIF5"
"RPL32",1.2089524675677e-10,-0.480215287196263,0.993,1,3.18885392370333e-06,-0.480215287196263,"RPL32"
"BCAT1",1.46091652333337e-10,-0.298530392951058,0.06,0.204,3.85345951359643e-06,-0.298530392951058,"BCAT1"
"RPL26",1.65893180011215e-10,-0.482730225819264,0.988,0.995,4.37576440915583e-06,-0.482730225819264,"RPL26"
"USP53",1.68764747703864e-10,-0.680081908420358,0.261,0.454,4.45150775018482e-06,-0.680081908420358,"USP53"
"RPL39",2.25812527216688e-10,-0.612466743470793,0.97,0.99,5.95625703039457e-06,-0.612466743470793,"RPL39"
"FILIP1L",2.30049688560719e-10,0.684563896206387,0.542,0.311,6.06802063516609e-06,0.684563896206387,"FILIP1L"
"CALM2",2.32788282015322e-10,0.492607085933262,0.969,0.939,6.14025651471814e-06,0.492607085933262,"CALM2"
"RPL36",2.8799420199527e-10,-0.559628221987517,0.968,0.985,7.59642306602924e-06,-0.559628221987517,"RPL36"
"CALD1",3.41974080562841e-10,0.499178851976557,0.959,0.862,9.02025032300605e-06,0.499178851976557,"CALD1"
"RPL11",3.43280220285854e-10,-0.414610040250393,0.999,0.995,9.05470237047996e-06,-0.414610040250393,"RPL11"
"NDRG2",3.85140647879928e-10,-0.606932302467015,0.208,0.393,1.01588548691289e-05,-0.606932302467015,"NDRG2"
"CRIP2",4.03755030597856e-10,0.576117168748076,0.606,0.372,1.06498464420796e-05,0.576117168748076,"CRIP2"
"SERTAD1",4.62083918740571e-10,0.548371317608799,0.349,0.128,1.21883875246201e-05,0.548371317608799,"SERTAD1"
"LGALS3",4.71507346209286e-10,0.435857207585513,0.97,0.929,1.24369492709623e-05,0.435857207585513,"LGALS3"
"GABARAPL2",4.74343726720069e-10,0.488583105700735,0.75,0.582,1.25117644796953e-05,0.488583105700735,"GABARAPL2"
"RPL29",5.6163582775297e-10,-0.464706301856396,0.98,0.995,1.48142682286401e-05,-0.464706301856396,"RPL29"
"SOX4",5.67741691713882e-10,0.358873882522825,0.632,0.337,1.49753226023371e-05,0.358873882522825,"SOX4"
"FOSB",5.69718290883155e-10,0.832248796304557,0.525,0.301,1.5027459358625e-05,0.832248796304557,"FOSB"
"ITGB1",6.33229957751033e-10,0.511147496245484,0.873,0.714,1.6702706595599e-05,0.511147496245484,"ITGB1"
"TMEM176B",6.38443107452458e-10,0.665592139910335,0.653,0.454,1.68402138452735e-05,0.665592139910335,"TMEM176B"
"SERPINA3.1",6.61661616198595e-10,-0.479325526398795,0.113,0.281,1.74526484504704e-05,-0.479325526398795,"SERPINA3.1"
"RPL30",7.5717116827639e-10,-0.408675662458348,0.989,0.99,1.99719039056264e-05,-0.408675662458348,"RPL30"
"ASPN",7.83470762687319e-10,1.03636045058789,0.472,0.245,2.06656083074034e-05,1.03636045058789,"ASPN"
"GLUL",8.58221736653333e-10,-0.968263129367408,0.723,0.796,2.2637314747705e-05,-0.968263129367408,"GLUL"
"CNN2",8.94180734096795e-10,-0.558019775319406,0.476,0.679,2.35858052232712e-05,-0.558019775319406,"CNN2"
"CYR61",1.56833214822945e-09,-1.35023487559474,0.662,0.806,4.13678970738482e-05,-1.35023487559474,"CYR61"
"FBLN2",1.61436915871552e-09,0.57770916870165,0.565,0.327,4.25822152994393e-05,0.57770916870165,"FBLN2"
"ANTXR1",1.6417388403735e-09,0.569807846030105,0.592,0.367,4.33041453925317e-05,0.569807846030105,"ANTXR1"
"FHL2",1.99642471904061e-09,0.596274573596895,0.399,0.179,5.26596948141342e-05,0.596274573596895,"FHL2"
"DPT",2.10316073610007e-09,0.734717284853525,0.545,0.327,5.54750707361115e-05,0.734717284853525,"DPT"
"VGLL3",3.76045270687653e-09,-0.440563491247269,0.271,0.464,9.91894610492822e-05,-0.440563491247269,"VGLL3"
"BGN",3.84162513313235e-09,0.51189971540323,0.888,0.704,0.000101330546136632,0.51189971540323,"BGN"
"TCEAL4",4.04107554269509e-09,-0.659985995604681,0.574,0.724,0.000106591449589668,-0.659985995604681,"TCEAL4"
"PLPPR4",4.48435498611178e-09,0.451706550276497,0.244,0.056,0.00011828383146867,0.451706550276497,"PLPPR4"
"CD68",4.74299580566299e-09,-0.403022468742893,0.312,0.505,0.000125106000365973,-0.403022468742893,"CD68"
"TSHZ2",4.80400887964132e-09,0.454444112845328,0.364,0.158,0.000126715342218299,0.454444112845328,"TSHZ2"
"TMOD3",5.16174844124307e-09,0.462040790052522,0.472,0.26,0.000136151438634668,0.462040790052522,"TMOD3"
"IRS2",5.67951576907773e-09,-0.500365201965695,0.125,0.276,0.000149808587440963,-0.500365201965695,"IRS2"
"GNB2L1",5.76332502810229e-09,-0.377767511012832,0.991,1,0.000152019224266254,-0.377767511012832,"GNB2L1"
"RPL35A",6.08388628142547e-09,-0.415337572235151,0.98,0.99,0.00016047466844516,-0.415337572235151,"RPL35A"
"HSP90B1",6.35510384454711e-09,0.393885970386057,0.938,0.842,0.000167628574107619,0.393885970386057,"HSP90B1"
"APOC1",7.0829090510765e-09,-0.567889126232652,0.359,0.551,0.000186825892040245,-0.567889126232652,"APOC1"
"ADH1B",7.67462725445829e-09,-0.766988852253477,0.663,0.776,0.000202433643090846,-0.766988852253477,"ADH1B"
"MXRA5",9.93644534893194e-09,0.504904459858471,0.48,0.235,0.000262093618968778,0.504904459858471,"MXRA5"
"KCTD12",9.95435221758734e-09,0.504350783049735,0.351,0.148,0.000262565948443301,0.504350783049735,"KCTD12"
"ULK4",1.12736840778644e-08,-0.336907634096438,0.049,0.163,0.00029736596492183,-0.336907634096438,"ULK4"
"TMEM176A",1.1608326234155e-08,0.640439157401993,0.599,0.403,0.000306192821078307,0.640439157401993,"TMEM176A"
"SERPINF1",1.17694659636713e-08,0.550217034148669,0.796,0.648,0.000310443203723759,0.550217034148669,"SERPINF1"
"GUCY1A3",1.23513950611815e-08,0.502432697934373,0.419,0.219,0.000325792747528784,0.502432697934373,"GUCY1A3"
"PQLC2L",1.24071507030199e-08,-0.327195817256087,0.086,0.224,0.000327263414093555,-0.327195817256087,"PQLC2L"
"BAMBI",1.2668913268055e-08,-0.47799738893724,0.117,0.27,0.000334167925271488,-0.47799738893724,"BAMBI"
"SCN7A",1.44440319096469e-08,-1.00193663097683,0.476,0.607,0.000380990229680755,-1.00193663097683,"SCN7A"
"RAPGEF5",1.46052432442886e-08,-0.306210638580611,0.058,0.179,0.000385242501054601,-0.306210638580611,"RAPGEF5"
"MPST",1.54165576796517e-08,-0.44220190573964,0.197,0.362,0.000406642541916173,-0.44220190573964,"MPST"
"FAM118A",1.57574668189538e-08,0.343122427719263,0.258,0.071,0.000415634702283545,0.343122427719263,"FAM118A"
"MMP19",1.69604215465333e-08,0.578003773522504,0.341,0.138,0.000447365039132908,0.578003773522504,"MMP19"
"CXCL12",1.77098932363138e-08,0.648038020181273,0.514,0.316,0.00046713385389425,0.648038020181273,"CXCL12"
"MEG3",1.81219379422058e-08,0.484732277670722,0.417,0.194,0.000478002357101561,0.484732277670722,"MEG3"
"CRIP1",1.81694105844228e-08,0.649510408512057,0.747,0.638,0.000479254542985319,0.649510408512057,"CRIP1"
"CITED2",1.84975988748662e-08,-0.902608502890536,0.481,0.612,0.000487911165522346,-0.902608502890536,"CITED2"
"ITM2B",2.36695978761275e-08,0.31465445840053,0.996,0.964,0.000624332983178614,0.31465445840053,"ITM2B"
"INHBA",2.39163563456427e-08,0.472631945505124,0.231,0.056,0.000630841731329018,0.472631945505124,"INHBA"
"TNC",2.44195612557603e-08,1.00054195800355,0.411,0.204,0.000644114767243189,1.00054195800355,"TNC"
"NTM",2.45650192866008e-08,0.344308522575495,0.193,0.031,0.000647951513722668,0.344308522575495,"NTM"
"RPS28",2.50053263743234e-08,-0.441590264107614,0.988,0.99,0.000659565493775529,-0.441590264107614,"RPS28"
"H3F3A",2.54290436355642e-08,0.383408594792099,0.984,0.98,0.000670741883975276,0.383408594792099,"H3F3A"
"ENPP2",2.57830084598875e-08,0.410772322363294,0.364,0.158,0.000680078414146452,0.410772322363294,"ENPP2"
"RPL35",2.81253547135084e-08,-0.37233849502809,0.968,0.995,0.000741862481278211,-0.37233849502809,"RPL35"
"SFTPA1",2.97597856650917e-08,0.660050537883253,0.338,0.148,0.000784973866488125,0.660050537883253,"SFTPA1"
"ANGPTL2",3.056514756605e-08,0.525588842153627,0.353,0.153,0.000806216897349701,0.525588842153627,"ANGPTL2"
"MMP2",3.10903539921958e-08,0.331302594514233,0.887,0.73,0.000820070267252148,0.331302594514233,"MMP2"
"LITAF",3.2766783129799e-08,0.518815711226843,0.718,0.571,0.000864289438614709,0.518815711226843,"LITAF"
"HSPA1B",3.44010479345991e-08,0.532006665999813,0.525,0.327,0.00090739644137092,0.532006665999813,"HSPA1B"
"NGFRAP1",4.14599052292444e-08,0.419809509706258,0.727,0.536,0.00109358792023178,0.419809509706258,"NGFRAP1"
"UBXN4",4.25884780297978e-08,0.397504817950757,0.648,0.434,0.00112335628499198,0.397504817950757,"UBXN4"
"C1QA",4.91591181903883e-08,-0.435442632845721,0.209,0.367,0.00129667006050787,-0.435442632845721,"C1QA"
