"Symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significant"
"PROSER1",1913.34970676495,-0.565876221678137,0.144414454626551,-3.91841816071296,8.91319813827031e-05,0.0239063604365628,"Yes"
"SERPINB1",3516.06696765563,0.465756128759837,0.117647749498293,3.95890385278125,7.52945382560445e-05,0.0239063604365628,"Yes"
"SIPA1L2",974.116439115047,-0.572691825241692,0.143609667624562,-3.98783615834888,6.66786856819391e-05,0.0239063604365628,"Yes"
"SLC51A",1297.43787503063,0.711479180328132,0.183140042248871,3.88489142839279,0.000102375628337263,0.0239063604365628,"Yes"
"TJP1",2588.81095913802,-0.437689276362812,0.11259609011685,-3.88725111066102,0.000101385856450782,0.0239063604365628,"Yes"
"TSPAN18",1257.60977057997,-0.767829176277864,0.196927319580067,-3.8990485317893,9.65714189587059e-05,0.0239063604365628,"Yes"
"XPO5",1895.76210870206,-0.55764014722146,0.142825735265573,-3.90433941183341,9.4483104663432e-05,0.0239063604365628,"Yes"
"GRK3",1061.00108523872,-0.543594934543762,0.140946254811619,-3.85675330834651,0.000114903019096694,0.0259932173512803,"Yes"
"POLR1A",2604.13307822109,-0.542813498711433,0.141283783175455,-3.84200852009556,0.000122031599142475,0.0267692953391629,"Yes"
"HUWE1",11061.6886301806,-0.376134396068066,0.0981329882673137,-3.8329047419149,0.00012663900114085,0.0269629332134886,"Yes"
"BAZ1B",3542.40053692664,-0.498524909024131,0.13156135797582,-3.78929585931879,0.000151074901209718,0.0308753402174984,"Yes"
"NOP9",2165.85322331751,-0.469151762787893,0.123941596806333,-3.78526479307003,0.000153544999009524,0.0308753402174984,"Yes"
"CD3G",1134.66657968951,0.992261149623604,0.262840964346156,3.77513890230906,0.000159918527784202,0.0308845169725215,"Yes"
"INHBE",1441.83936974226,0.773127917033419,0.204979975359529,3.77172411928225,0.000162123448674654,0.0308845169725215,"Yes"
"CD3D",958.764904501162,0.793974832873022,0.211314078950544,3.75732103045934,0.000171742112418338,0.0318779782511885,"Yes"
"S100P",10968.6072970247,0.613544293885885,0.163719370983838,3.74753634954077,0.000178579963828768,0.0323185089539113,"Yes"
"CDK12",3215.36479069908,-0.432643429038091,0.11673284564244,-3.70626987337657,0.000210334174296099,0.034051975954572,"Yes"
"KIAA1549",897.997595535043,-0.522321867132822,0.141002870206105,-3.70433499948858,0.000211946012048973,0.034051975954572,"Yes"
"NCOA6",2140.63458149336,-0.485120009067228,0.131010048558919,-3.70292213767906,0.000213130309815225,0.034051975954572,"Yes"
"ONECUT2",2780.81531168034,-0.415551388733838,0.111462114899495,-3.72818503496491,0.000192863754679638,0.034051975954572,"Yes"
"RPS6KA3",31494.5583329735,-0.355552939151119,0.0960650418775269,-3.70116883521908,0.00021460861500768,0.034051975954572,"Yes"
"XPO6",2124.71748999519,-0.546479676496857,0.147733935563648,-3.69908020396178,0.000216382220460051,0.034051975954572,"Yes"
"PIK3R3",1148.48821485732,-0.520545775705805,0.141035429117489,-3.69088660177838,0.000223473755141759,0.0344197130525786,"Yes"
"MKI67",10519.885353284,-0.427444319797732,0.117133388987693,-3.64920987509926,0.000263048135239285,0.0396709468957747,"Yes"
