,ID,Z_RGES,Z_Up,Z_Down,Penalty,SMILES,GNN_prob,GNN_pred
691,ZINC000005346005,-4.285542247,-1.701215323,2.584326924,0.031547619,Cc1ccc([C@H]2c3ccc(O)cc3Oc3ncn4nc(-c5cccnc5)nc4c32)cc1,0.31238496,0
692,ZINC000015015617,-4.284938188,-0.404809148,3.88012904,0.141666667,Cc1ccnc(N[C@H](c2cccc(C)n2)c2ccc3cccnc3c2O)c1,0.467479,0
693,ZINC000004182127,-4.284436132,-1.585763681,2.698672452,0.02797619,O=C1NC(=O)C(=Cc2ccccc2OCCOc2ccccc2)C(=O)N1,0.9959443,1
694,ZINC000224996702,-4.284384044,-1.396177886,2.888206158,0.010416667,CS(=O)(=O)N(Cc1ccc(F)cc1)c1ccc(C(=O)Nc2ccc(N3CCOCC3)cc2)cc1,0.85648894,1
695,ZINC000015084819,-4.284337689,-2.32246429,1.961873398,0.028571429,O=C1C[C@@H](c2ccc(F)cc2)c2c(Nc3ccccc3)n[nH]c2N1,0.9636921,1
696,ZINC000224890028,-4.28356097,-1.68800445,2.59555652,0.031547619,CS(=O)(=O)N(CCCC(=O)NCCc1ccc(F)cc1)c1ccc(F)c(F)c1,0.99564874,1
697,ZINC000214489539,-4.282062967,-1.036504281,3.245558687,0.034821429,Nc1cccc(C(=O)Nc2ccc(Nc3nccc(-c4cccnc4)n3)cc2)c1,0.526662,1
698,ZINC000408705111,-4.281786845,-2.649951163,1.631835682,0.05327381,C[C@H](C(=O)Nc1ccc(F)cc1F)N(c1ccc2c(c1)OCCO2)S(C)(=O)=O,0.5174675,1
699,ZINC000001562368,-4.281656634,-1.663198283,2.618458351,0.005208333,Cn1ncc2c(Nc3ccc(O)cc3)nc(Cl)nc21,0.16930072,0
700,ZINC000004678576,-4.28044125,-1.658092991,2.622348259,0.019196429,COc1ccc(-c2cn3cc(-c4ccc(Cl)cc4)n(C)c3n2)cc1,0.027746312,0
701,ZINC000000671323,-4.279786768,-1.416586021,2.863200747,0.04360119,COC(=O)c1sc(NC(=O)/C=C/c2ccc(F)cc2)c(C(=O)OC)c1C,0.42331,0
702,ZINC000003195138,-4.279102423,-1.90701941,2.372083013,0.054315476,O=C(c1cccc([N+](=O)[O-])c1)c1ccc2c(c1)C(=O)N(c1ccc3ccccc3c1)C2=O,0.85771394,1
703,ZINC000218390101,-4.278760125,-1.815300042,2.463460084,0.03125,C=CCN(c1ccc(C(=O)NCCOc2ccc(C)cc2)cc1)S(C)(=O)=O,0.8901909,1
704,ZINC000019771663,-4.27854809,-2.494442062,1.784106028,0.035416667,C=CCc1cccc(/C=N\N2CCN(Cc3ccccc3Cl)CC2)c1O,0.9310891,1
705,ZINC000057990120,-4.277464328,-1.559707399,2.71775693,0,C[C@@H]1CC(C)(C)NC2=NC(C)(C)CC[C@H]21,0.95291775,1
706,ZINC000008657480,-4.276551342,-1.658092991,2.618458351,0.008779762,COc1cccc([C@H]2c3c(oc4ccc(F)cc4c3=O)C(=O)N2c2cccc(C)n2)c1,0.23420496,0
707,ZINC000005354452,-4.276152039,-1.701215323,2.574936716,0.031547619,Nc1sc2cccc[n+]2c1C(=O)c1cccc([N+](=O)[O-])c1,0.89742446,1
708,ZINC001775966003,-4.27597251,-1.815300042,2.460672469,0.015625,Cc1ncnc(Nc2ccc(F)cn2)c1C,0.95914996,1
709,ZINC000044869781,-4.275891154,-1.230837474,3.045053681,0.060863095,C[C@@]1(NC(=O)/C=C/c2c(F)cccc2Cl)CCS(=O)(=O)C1,0.844262,1
710,ZINC000000271643,-4.275771243,-1.826688089,2.449083154,0.010416667,Cc1ccc(C(=O)N2CCN(C)CC2)cc1,0.98423445,1
711,ZINC000065397907,-4.275602115,-1.538366953,2.737235163,0.005208333,Nc1cc(-c2cnc3ccccc3c2)ccn1,0.4017365,0
712,ZINC000073658904,-4.275437826,-1.99216889,2.283268936,0.142559524,COc1ccc(CCNc2ccc(NC(=O)CCCNC(=O)OC(C)(C)C)cn2)cc1,0.91200334,1
713,ZINC000015003442,-4.275065356,-1.856437473,2.418627883,0,COc1cccc(CCNc2ncnc3sc(C(=O)NCCN(C)C)c(C)c23)c1,0.8606743,1
